specObjID,ra,dec,redshift,zErr,class,subClass,u,g,r,i,z,plate,mjd,fiberID
3.81E+18,222.23026,23.042158,3.42E-06,8.07E-06,STAR,K7,18.86464,16.47365,15.31187,14.87471,14.63531,3387,54951,230
3.52E+18,71.948378,-5.0860101,3.44E-06,7.87E-06,STAR,K5,20.89612,18.23984,17.04987,16.61341,16.38641,3123,54741,302
6.43E+18,131.31745,62.899709,3.54E-06,1.15E-05,STAR,F3/F5V (30743),19.05313,17.96041,17.47829,17.2622,17.1622,5714,56660,472
1.95E+18,113.40762,42.41933,3.61E-06,1.40E-05,STAR,M3,21.45584,18.54804,17.0961,15.92415,15.26669,1735,53035,356
3.82E+18,226.02751,45.087385,3.63E-06,3.28E-05,STAR,A0,19.88583,18.99239,18.73014,18.63168,18.63246,3390,54945,358
3.79E+18,127.26278,55.684274,3.69E-06,8.22E-06,STAR,F5,17.77047,16.65984,16.33185,16.23351,16.1998,3362,54939,149
8.25E+18,39.635297,-0.98969169,3.70E-06,6.67E-06,STAR,K5Ve (118100),19.90593,17.33713,16.26294,15.83264,15.59256,7330,56684,165
3.80E+18,130.75565,23.312487,3.70E-06,7.45E-06,STAR,K5,21.05353,18.56047,17.47647,17.09107,16.75014,3373,54940,547
3.08E+18,228.69008,6.407035,3.79E-06,1.29E-05,STAR,F9,19.97773,18.79911,18.24879,18.03204,17.93895,2739,54618,244
3.80E+18,131.23313,22.916884,3.91E-06,1.26E-05,STAR,G2,20.36555,19.17024,18.73641,18.57566,18.61033,3373,54940,598
8.26E+18,30.887222,1.1887096,4.09E-06,6.97E-06,STAR,G4V (32923),18.18911,16.89469,16.42161,16.24627,16.18549,7332,56683,943
9.99E+18,198.42853,37.416798,4.09E-06,1.36E-05,STAR,F3/F5V (30743),18.97651,18.11141,17.81503,17.69873,17.65288,8871,57519,781
3.81E+18,223.50352,10.430203,4.15E-06,8.63E-06,STAR,F9,18.97273,17.32801,16.65417,16.37318,16.23465,3388,54947,487
8.25E+18,39.035295,-0.6213825,4.34E-06,6.93E-06,STAR,K0IV (191026),18.73898,17.10942,16.48653,16.23823,16.10858,7330,56684,267
8.39E+18,128.61851,0.15417745,4.37E-06,1.20E-05,STAR,G8V (101501),20.65733,19.12149,18.44535,18.18931,18.00339,7452,56745,526
5.14E+18,149.6533,42.726174,4.39E-06,7.70E-06,STAR,K5Ve (118100),21.09012,18.36769,17.23372,16.78176,16.56525,4565,55591,738
3.51E+18,59.363114,10.731104,4.56E-06,7.70E-06,STAR,K1,19.86413,18.10245,17.28865,16.89664,16.7888,3121,54749,10
3.07E+18,114.17208,15.436087,4.57E-06,1.55E-05,STAR,G2,20.28471,19.04192,18.56257,18.41249,18.31154,2728,54416,36
3.51E+18,59.766396,11.323958,4.66E-06,7.66E-06,STAR,K3,21.14599,19.29623,18.30413,17.902,17.63663,3121,54749,24
8.39E+18,130.83754,-0.42697961,4.67E-06,7.45E-06,STAR,K5 (G_19-24),21.80031,19.09825,17.85898,17.33712,17.04002,7452,56745,90
3.74E+18,167.98784,41.225705,4.68E-06,7.93E-06,STAR,F9,18.20356,16.84909,16.28002,16.06513,15.98079,3326,54943,492
3.81E+18,224.57251,10.713613,4.68E-06,9.43E-06,STAR,F9,18.96597,17.61586,17.07907,16.85439,16.72806,3388,54947,613
1.69E+18,21.208292,-1.098632,5.10E-06,7.73E-06,STAR,F9,17.62659,16.07214,15.45358,15.24523,15.17849,1501,53740,273
3.81E+18,208.89711,42.746307,5.13E-06,2.41E-05,STAR,F5,20.41493,19.38672,18.96041,18.84787,18.78861,3380,54977,444
