,_DEJ2000,Source,SolID,PF,P1O,EpochG,Gmagavg,BPmagavg,RPmagavg,RVavg,ptpG,ptpRV,R21G,R31G,phi21G,phi31G,FuNFreq1,FuNFreq2,Class,Pratio
205.5827126,28.39512644,1.45488E+18,3.75317E+17,0.480177102,0.35748621,1690.775092,15.529694,15.591774,15.111166,,0.58208567,,,,,,2.797300887,2.082465569,RRd,0.74448825
77.0013376,-21.06734495,2.96279E+18,3.75317E+17,0.461634706,0.342916691,1719.390976,15.545716,15.714461,15.234795,,0.3789855,,,,,,2.916376275,2.166171536,RRd,0.74283126
201.9616504,4.442934582,3.71618E+18,3.75317E+17,0.458208006,0.340399922,1699.104354,15.573244,15.731105,15.275334,,0.48793948,,,,,,2.937798398,2.182486201,RRd,0.742893876
194.7810852,26.59726476,1.46039E+18,3.75317E+17,0.559796025,0.417510261,1680.630348,15.611505,15.779458,15.261799,,0.33658403,,0.19783767,,5.055827,,2.395028663,1.786323909,RRd,0.745825699
331.3260977,-45.02882235,6.5677E+18,3.75317E+17,0.486039203,0.361886126,1717.592309,15.612186,15.772345,15.320116,,0.6510381,,,,,,2.76330482,2.05741777,RRd,0.744561599
219.2064787,32.66398671,1.28709E+18,3.75317E+17,0.493514005,0.367381953,1714.581805,15.640358,15.804023,15.353553,,0.5058608,,0.23836021,,4.5788164,,2.72192372,2.02634574,RRd,0.744420521
251.9792987,28.64404807,1.30811E+18,3.75317E+17,0.481059827,0.357882858,1719.772109,15.64468,15.813741,15.337206,,0.71687996,,,,,,2.794161066,2.078685054,RRd,0.743946675
236.9200454,38.4879085,1.37673E+18,3.75317E+17,0.482191476,0.359036568,1719.972148,15.685009,15.848787,15.375856,,0.33716,,,,,,2.785243314,2.073866817,RRd,0.744593354
152.4564546,-52.76853832,5.35681E+18,3.75317E+17,0.498825173,0.371018288,1684.546932,15.730425,16.255735,15.028026,,0.6687226,,,,,,2.004703897,2.695278759,RRd,0.743784211
43.84138039,-30.37184122,5.06498E+18,3.75317E+17,0.496717949,0.369848435,1715.091629,15.771316,15.928687,15.438823,,0.1640948,,,,,,2.703823304,2.013234083,RRd,0.744584398
195.5187848,46.59275676,1.55487E+18,3.75317E+17,0.471761546,0.350912067,1667.756167,15.783968,15.944924,15.4873495,,0.38218904,,0.1909668,,5.0989776,,2.849706014,2.119698337,RRd,0.743833553
133.8638784,41.39941873,9.12659E+17,3.75317E+17,0.486164973,0.361810564,1716.486648,15.791929,15.949705,15.4753475,,0.6033907,,,,,,2.763799856,2.056965807,RRd,0.744213557
148.3077875,-15.64097782,5.68618E+18,3.75317E+17,0.474177492,0.35279385,1764.242865,15.81794,16.009338,15.516525,,0.63220555,,,,,,2.834546887,2.108969538,RRd,0.744012223
208.5477353,47.82497648,1.50999E+18,3.75317E+17,0.489424767,0.364323896,1678.479743,15.946382,16.098621,15.643305,,0.29454368,,0.1657529,0.25018287,5.2153893,3.108536,2.744801176,2.043091185,RRd,0.74439203
262.5449854,45.36795046,1.36109E+18,3.75317E+17,0.503173227,0.375203493,1724.614193,15.949638,16.138605,15.6309,,0.3518086,,,,,,2.665181103,1.987426908,RRd,0.745674597
258.6448748,30.29158876,1.33309E+18,3.75317E+17,0.560611978,0.418195496,1721.354821,15.955748,16.16039,15.597818,,0.49993613,,0.25181365,,5.0544887,,2.391273643,1.783832965,RRd,0.74596247
141.3225323,-35.74874869,5.43729E+18,3.75317E+17,0.479222139,0.356733359,1767.112964,15.971803,16.210407,15.535283,,0.5736789,,0.21630372,,4.7010975,,2.803102394,2.086710696,RRd,0.744400833
236.579899,36.5680929,1.37591E+18,3.75317E+17,0.554888163,0.413948836,1719.156326,15.978774,16.16782,15.651721,,0.3571993,,0.28202492,,5.6026897,,2.415753246,1.802187558,RRd,0.746004086
142.6837303,32.15466164,7.01015E+17,3.75317E+17,0.504570157,0.375776534,1722.79929,15.997536,16.183844,15.689626,,0.52872515,,,,,,2.661124836,1.981868235,RRd,0.744745858
